SIREN,SIRET,Nom société,Enseigne,Catégorie entreprise,Forme juridique,Date création,Code NAF,Libellé NAF,Tranche effectifs,Adresse,Code postal,Ville,Site web,Email générique,Téléphone standard,Nom dirigeant,Prénom dirigeant,Fonction dirigeant,Email dirigeant,Téléphone dirigeant,LinkedIn dirigeant,LinkedIn société,Spécialité Santé,Spécialité Prévoyance,Spécialité IARD,Spécialité Auto,Spécialité RC Pro,Spécialité Entreprises,Spécialité Collectives,Spécialité Particuliers,Nb collaborateurs estimé,Niveau digitalisation,ICP Score,Priorité,Potentiel,Statut prospection,Canal,Date premier contact,Dernier contact,Relance prévue,Démo réalisée,Proposition envoyée,Closing estimé,Notes
387721566,38772156600033,SOGEPA INVESTISSEMENT,,PME,5710,1992-01-01,66.22Z,66.22Y,01,4 RUE DE NANCY,56170,QUIBERON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387962327,38796232700053,,,PME,1000,1992-01-01,66.22Z,66.22Y,NN,44 RUE D'AUVERGNE,22950,TREGUEUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387992480,38799248000039,,,PME,1000,1991-10-02,66.22Z,66.22Y,NN,4 IMPASSE TAL ER FETAN,56950,CRACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388123069,38812306900279,LSN ASSURANCES,,ETI,5710,1992-04-23,66.22Z,66.22Y,22,4 RUE DES LYCEENS MARTYRS,22000,SAINT-BRIEUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388125833,38812583300029,,,PME,1000,1992-07-01,66.22Z,66.22Y,NN,LE ROHIC,56920,KERFOURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388627671,38862767100034,CABINET D'ASSURANCES GUILLEMIN PICHARD,,PME,2310,1992-05-01,66.22Z,66.22Y,NN,32 RUE DE MONCONTOUR,22600,LOUDEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388627671,38862767100042,CABINET D'ASSURANCES GUILLEMIN PICHARD,,PME,2310,1992-05-01,66.22Z,66.22Y,NN,103 RUE NATIONALE,56300,PONTIVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390122604,39012260400015,SCDF LE MEUR JEAN THOMAS GUY,,PME,2210,1993-01-05,66.22Z,66.22Y,NN,40 BOULEVARD DE CREAC'H GWEN,29000,QUIMPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390233328,39023332800017,SCDF ALLAINGUILLAUME-JAMBOU,,PME,2210,1993-01-01,66.22Z,66.22Y,NN,5 RUE AMIRAL RONARC'H,29000,QUIMPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390258168,39025816800066,[ND],[ND],PME,1000,1993-01-04,66.22Z,66.22Y,NN,[ND] [ND] [ND],[ND],SAINT-MALO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390474286,39047428600049,,,PME,1000,1993-03-02,66.22Z,66.22Y,NN,66  HEURTELAIS,35530,NOYAL-SUR-VILAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390543270,39054327000040,GROUPE CERAP - CONSEIL AUX ENTREPRISES SUR LES REGIMES D'ASSURANCES DE PERSONNES,,ETI,5710,1993-02-01,66.22Z,66.22Y,12,40 BOULEVARD DE LA TOUR D'AUVERGNE,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390958148,39095814800012,SCAFF CONSEIL,,PME,5499,1993-04-20,66.22Z,66.22Y,01,29 COURS DE BILBAO,35200,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391146123,39114612300040,,,PME,1000,1993-05-11,66.22Z,66.22Y,01,53 RUE SAINT CORNELY,56340,CARNAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391639259,39163925900103,,,PME,1000,1993-07-01,66.22Z,66.22Y,NN,26 RUE CHARLES LINDBERGH,56000,VANNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391881620,39188162000051,A.C.T.R.I,,PME,5499,1993-07-01,66.22Z,66.22Y,11,19 RUE DES VEYETTES,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391881620,39188162000127,A.C.T.R.I,,PME,5499,1993-07-01,66.22Z,66.22Y,11,5 RUE SAINT SAUVEUR,22400,LAMBALLE-ARMOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392083879,39208387900131,,,PME,1000,1993-05-03,66.22Z,66.22Y,NN,LE VEUZIT,22310,PLESTIN-LES-GREVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392899381,39289938100025,,CABINET AXA MARC CARDINAUX,PME,1000,1993-10-30,66.22Z,66.22Y,NN,6 AVENUE LOUIS BARTHOU,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393148473,39314847300050,,,PME,1000,1993-11-01,66.22Z,66.22Y,NN,19 RUE ALBERT SCHWEITZER,29300,MELLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394090500,39409050000015,,,PME,1000,1993-04-01,66.22Z,66.22Y,NN,10 ALLEE DU PARC DE KERIZEL,56000,VANNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394297311,39429731100034,,ALLIANZ,PME,1000,1993-07-01,66.22Z,66.22Y,NN,16 RUE NATIONALE,29140,ROSPORDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
